Date,Open,High,Low,Close,Adj Close,Volume
2023-04-26,155.300003,156.000000,154.339996,154.580002,150.717484,4843700
2023-04-27,155.300003,156.610001,155.009995,156.470001,152.560257,4805600
2023-04-28,156.279999,157.369995,155.759995,156.380005,152.472504,5754000
2023-05-01,156.029999,157.399994,155.800003,156.570007,152.657745,3844600
2023-05-02,156.589996,156.929993,155.669998,156.429993,152.521240,5262900
2023-05-03,156.639999,157.570007,155.429993,156.229996,152.326248,5775000
2023-05-04,156.100006,156.600006,155.089996,155.509995,151.624237,4892600
2023-05-05,155.399994,156.309998,154.690002,156.029999,152.131256,3988200
2023-05-08,155.350006,155.729996,154.869995,155.300003,151.419495,4950700
2023-05-09,155.850006,155.979996,153.580002,153.710007,149.869232,4472100
2023-05-10,153.449997,154.320007,152.440002,154.029999,150.181229,4754900
2023-05-11,154.809998,154.889999,153.389999,154.389999,150.532227,3495300
2023-05-12,154.699997,156.050003,154.389999,155.960007,152.063004,5252200
2023-05-15,156.610001,156.750000,154.639999,156.009995,152.111740,5414900
2023-05-16,155.869995,156.919998,154.929993,155.740005,151.848495,5591500
2023-05-17,156.259995,156.559998,153.899994,155.080002,151.204987,4286900
2023-05-18,153.309998,153.649994,151.600006,152.529999,148.718689,6997600
2023-05-19,152.470001,153.320007,151.839996,153.169998,149.342697,4752700
2023-05-22,152.500000,152.600006,148.830002,149.160004,145.432922,7876200
2023-05-23,148.789993,148.880005,147.070007,147.550003,143.863159,6116000
2023-05-24,147.589996,148.199997,146.089996,146.330002,142.673615,5755400
2023-05-25,145.490005,146.210007,144.350006,145.389999,141.757095,6510300
2023-05-26,145.330002,146.009995,144.729996,145.399994,141.766846,4716400
2023-05-30,143.860001,144.039993,142.350006,143.179993,139.602325,5561000
2023-05-31,143.160004,143.979996,141.899994,142.500000,138.939316,19854800
2023-06-01,143.250000,144.119995,142.449997,143.960007,140.362839,6091100
2023-06-02,144.509995,146.679993,144.389999,146.520004,142.858871,6123500
